stock,sector,strategy,note 
PTT,พลังงาน,DCA รายเดือน,รัฐวิสาหกิจ ปันผล 6-7%% 
SCB,ธนาคาร,DCA รายเดือน,Turnaround สำเร็จ ปันผล 7-8%% 
TISCO,การเงิน,DCA รายเดือน,ปันผล 7-8%% Beta ต่ำ 
AP,อสังหาฯ,DCA รายเดือน,ESG A ปันผล 5.5%% 
CPALL,ค้าปลีก,DCA รายเดือน,Market Leader ESG AAA 
ADVANC,สื่อสาร,DCA รายเดือน,ผู้นำตลาด ปันผล 4-5%% 
GULF,สาธารณูปโภค,DCA รายเดือน,Data Center + โรงไฟฟ้า 
BDMS,โรงพยาบาล,DCA รายเดือน,เครือข่ายใหญ่ Medical Tourism 
WHA,นิคมฯ/Data Center,DCA รายเดือน,ได้ FDI ปันผล 5%% 
GPSC,พลังงานทางเลือก,DCA รายเดือน,PTT Group พลังงานสะอาด 
